title,slug,ranking,section,Companies,References
What is React? Describe the benefits of React,what-is-react-describe-the-benefits-of-react,10,basics,,
"What is the difference between React Node, React Element, and a React Component?",what-is-the-difference-between-react-node-react-element-and-a-react-component,20,basics,,
What is JSX and how does it work?,what-is-jsx-and-how-does-it-work,30,basics,,
What is the difference between state and props in React?,what-is-the-difference-between-state-and-props-in-react,40,basics,,
What is the purpose of the `key` prop in React?,what-is-the-purpose-of-the-key-prop-in-react,50,basics,,
What is the consequence of using array indices as the value for `key`s in React?,what-is-the-consequence-of-using-array-indices-as-the-value-for-key-s-in-react,60,basics,,
What is the difference between controlled and uncontrolled React Components?,what-is-the-difference-between-controlled-and-uncontrolled-react-components,70,basics,,
What are some pitfalls about using context in React?,what-are-some-pitfalls-about-using-context-in-react,80,basics,,
What are the benefits of using hooks in React?,what-are-the-benefits-of-using-hooks-in-react,90,hooks,,
What are the rules of React hooks?,what-are-the-rules-of-react-hooks,100,hooks,,
What is the difference between `useEffect` and useLayoutEffect` in React?,what-is-the-difference-between-useeffect-and-uselayouteffect-in-react,110,hooks,,
What is the purpose of callback function argument format of `setState()` in React and when should it be used?,what-is-the-purpose-of-callback-function-argument-format-of-setstate-in-react-and-when-should-it-be-used,120,hooks,,
What does the dependency array of `useEffect` affect?,what-does-the-dependency-array-of-useeffect-affect,130,hooks,,
What is the `useRef` hook in React and when should it be used?,what-is-the-useref-hook-in-react-and-when-should-it-be-used,140,hooks,,
What is the `useCallback` hook in React and when should it be used?,what-is-the-usecallback-hook-in-react-and-when-should-it-be-used,150,hooks,,
What is the `useMemo` hook in React and when should it be used?,what-is-the-usememo-hook-in-react-and-when-should-it-be-used,160,hooks,,
What is the `useReducer` hook in React and when should it be used?,what-is-the-usereducer-hook-in-react-and-when-should-it-be-used,170,hooks,,
What is the `useId` hook in React and when should it be used?,what-is-the-useid-hook-in-react-and-when-should-it-be-used,180,hooks,,
What does re-rendering mean in React?,what-does-re-rendering-mean-in-react,190,intermediate,,
What are React Fragments used for?,what-are-react-fragments-used-for,200,intermediate,,
What is `forwardRef()` in React used for?,what-is-forwardref-in-react-used-for,210,intermediate,,
How do you reset a component's state in React?,how-do-you-reset-a-components-state-in-react,220,intermediate,,
Why does React recommend against mutating state?,why-does-react-recommend-against-mutating-state,230,intermediate,,
What are error boundaries in React for?,what-are-error-boundaries-in-react-for,240,intermediate,,
How do you test React applications?,how-do-you-test-react-applications,250,intermediate,,
Explain what React hydration is,explain-what-react-hydration-is,260,advanced,,
What are React Portals used for?,what-are-react-portals-used-for,270,advanced,,
How do you debug React applications?,how-do-you-debug-react-applications,280,advanced,,
What is React strict mode and what are its benefits?,what-is-react-strict-mode-and-what-are-its-benefits,290,advanced,,
How do you localize React applications?,how-do-you-localize-react-applications,300,advanced,,
What is code splitting in a React application?,what-is-code-splitting-in-a-react-application,310,advanced,,
How would one optimise the performance of React contexts to reduce rerenders?,how-would-one-optimise-the-performance-of-react-contexts-to-reduce-rerenders,320,advanced,TikTok,
What are higher order components in React?,what-are-higher-order-components-in-react,330,patterns,,
What is the Flux pattern and what are its benefits?,what-is-the-flux-pattern-and-what-are-its-benefits,340,patterns,,
Explain one-way data flow of React and its benefits,explain-one-way-data-flow-of-react-and-its-benefits,350,patterns,,
How do you handle asynchronous data loading in React applications?,how-do-you-handle-asynchronous-data-loading-in-react-applications,360,patterns,,
Explain server-side rendering of React applications and its benefits?,explain-server-side-rendering-of-react-applications-and-its-benefits,370,patterns,,
Explain static generation of React applications and its benefits?,explain-static-generation-of-react-applications-and-its-benefits,380,patterns,OKX,
Explain the presentational vs container component pattern in React,explain-the-presentational-vs-container-component-pattern-in-react,390,patterns,OKX,
What are some common pitfalls when doing data fetching in React?,what-are-some-common-pitfalls-when-doing-data-fetching-in-react,400,patterns,,
What are render props in React and what are they for?,what-are-render-props-in-react-and-what-are-they-for,410,patterns,,
What are some React anti-patterns?,what-are-some-react-anti-patterns,420,patterns,,https://reactpatterns.js.org/docs/props-in-initial-state-is-an-anti-pattern
"How do you decide between using React state, context, and external state managers?",how-do-you-decide-between-using-react-state-context-and-external-state-managers,430,patterns,,
Explain the composition pattern in React,explain-the-composition-pattern-in-react,440,patterns,,
What is virtual DOM in React?,what-is-virtual-dom-in-react,450,internals,,
How does virtual DOM in React work? What are its benefits and downsides?,how-does-virtual-dom-in-react-work-what-are-its-benefits-and-downsides,460,internals,"OKX, TikTok",
What is React Fiber and how is it an improvement over the previous approach?,what-is-react-fiber-and-how-is-it-an-improvement-over-the-previous-approach,470,internals,,
What is reconciliation in React?,what-is-reconciliation-in-react,480,internals,,
What is React Suspense and what does it enable?,what-is-react-suspense-and-what-does-it-enable,490,internals,,
Explain what happens when `setState` is called in React,explain-what-happens-when-setstate-is-called-in-react,500,internals,,
